Class,ax_Max,ay_Max,az_Max,gx_Max,gy_Max,gz_Max,ax_Min,ay_Min,az_Min,gx_Min,gy_Min,gz_Min,ax_Mean,ay_Mean,az_Mean,gx_Mean,gy_Mean,gz_Mean,ax_Median,ay_Median,az_Median,gx_Median,gy_Median,gz_Median,ax_Mode,ay_Mode,az_Mode,gx_Mode,gy_Mode,gz_Mode,ax_SD,ay_SD,az_SD,gx_SD,gy_SD,gz_SD,ax_Variance,ay_Variance,az_Variance,gx_Variance,gy_Variance,gz_Variance,ax_Skewness,ay_Skewness,az_Skewness,gx_Skewness,gy_Skewness,gz_Skewness,ax_Kurtosis,ay_Kurtosis,az_Kurtosis,gx_Kurtosis,gy_Kurtosis,gz_Kurtosis,ax_CV,ay_CV,az_CV,gx_CV,gy_CV,gz_CV
Move,1.8602947,-6.7324953,-8.461109,0.061135836,0.044950075,0.01943691,1.532289,-6.897695,-8.7292595,-0.035323583,-0.0624343,-0.013204751,1.714467659,-6.825297011,-8.579248784,-0.001212183,0.0037878,0.000582319,1.7190368,-6.825869,-8.578424,-0.001882542,0.004581014,0.000518,1.721431,-6.8091097,-8.571242,-0.005613018,0.001916388,-0.000814,0.063252689,0.021911357,0.037589514,0.011035804,0.014767097,0.004435127,0.004000903,0.000480108,0.001412972,0.000121789,0.000218067,1.97E-05,-0.27795142,0.172405753,-0.119271275,0.801386384,-0.850140229,0.155374481,-0.268205046,0.355379543,0.764775037,3.476325028,2.553079549,1.082705857,0.036893486,-0.003210315,-0.004381446,-9.104071889,3.898595025,7.616312544
Move,-0.02633622,-7.40766,-6.4882865,0.048889127,0.08810521,0.02058101,-0.45489833,-7.639898,-6.7612257,-0.051833685,-0.091224045,-0.024984073,-0.189620774,-7.53738533,-6.630219951,-0.002708383,-0.00335509,-9.65E-05,-0.17956513,-7.539341,-6.6271505,-0.002271672,-0.004357273,0.000863,-0.21547815,-7.539341,-6.6271505,-0.003071052,0.001238438,0.002994487,0.111901327,0.037687261,0.047676988,0.015711933,0.03217742,0.008893748,0.012521907,0.00142033,0.002273095,0.000246865,0.001035386,7.91E-05,-0.644803418,0.470207949,-0.110850051,-0.133622219,0.236091921,-0.285161268,-0.50029706,0.402774683,-0.159795401,0.423226085,0.134453667,-0.069279706,-0.590132215,-0.005000044,-0.007190861,-5.80122209,-9.590626642,-92.18011753
Move,0.39743748,-7.2424603,-6.4787097,0.078999385,0.05746202,0.014985297,0.1436521,-7.524976,-6.8569937,-0.07528238,-0.053386368,-0.023651762,0.276316078,-7.363634441,-6.641031724,-0.002229031,-2.26E-05,-0.00062436,0.2801216,-7.3669586,-6.64391,-0.002538127,-0.000627,-0.000203,0.2777274,-7.3765354,-6.6486983,-0.000406,-0.004357273,-0.000203,0.041044054,0.038097828,0.046018785,0.01658911,0.013949467,0.005550459,0.001684614,0.001451445,0.002117729,0.000275199,0.000194588,3.08E-05,-0.351523551,-0.104864155,0.219408365,0.195922189,0.625178456,-0.994300674,0.253620445,1.410148157,3.091875608,4.452421092,3.422782781,2.417399781,0.14854023,-0.00517378,-0.006929463,-7.442296987,-616.8002157,-8.889832748
Move,0.80205756,-7.3310456,-6.4763155,0.056083616,0.04786937,0.06055038,0.2633622,-7.615956,-6.6846113,-0.047303822,-0.05764977,-0.028181624,0.451254095,-7.478956761,-6.561279379,-0.00190367,-0.002727632,0.001305944,0.44771573,-7.48188,-6.5625067,-0.002005209,-0.002225575,0.000863,0.4429273,-7.489063,-6.5816603,-0.009999086,-0.000893,0.000596,0.059573232,0.041591913,0.036942291,0.013757114,0.012859861,0.010641564,0.00354897,0.001729887,0.001364733,0.000189258,0.000165376,0.000113243,1.609655142,0.547711135,-0.226758479,0.313889074,-0.452532958,2.166710751,8.930976512,1.278474711,0.205472138,0.969994932,3.693603102,10.71723664,0.132017045,-0.005561192,-0.005630349,-7.226628067,-4.714660848,8.148558078
Move,0.6607997,-7.326257,-6.411672,0.071005516,0.08384181,0.02697611,0.4309563,-7.615956,-6.813898,-0.038244102,-0.06511072,-0.028714547,0.539688351,-7.445500961,-6.627281413,-0.001114663,-0.003051312,0.000537134,0.545878,-7.445967,-6.631939,-0.001472284,-0.003024961,0.00033,0.5410896,-7.455544,-6.6391215,-0.003071052,-0.003291424,-0.000203,0.039955515,0.030565917,0.036361109,0.012202919,0.01379839,0.005865737,0.001596443,0.000934275,0.00132213,0.000148911,0.000190396,3.44E-05,-0.378947616,-0.744908248,0.764935107,0.82257032,0.844274876,-0.281936114,-0.3191878,3.795578792,6.997032097,5.398733638,7.930732825,4.910393308,0.074034421,-0.004105287,-0.00548658,-10.94762946,-4.522117946,10.9204323
Move,0.7134721,-7.33344,-6.5122285,0.04382634,0.05746202,0.038167533,0.2896984,-7.606379,-6.7372837,-0.068620816,-0.07816738,-0.02231945,0.486980626,-7.465511434,-6.625144252,-0.000878212,0.001549789,0.000841182,0.49559975,-7.467515,-6.6295447,-0.001205814,0.003103676,0.00033,0.49559975,-7.4866686,-6.6295447,-0.00173874,0.003370138,0.001395712,0.092503595,0.041798802,0.044076575,0.015760397,0.021172055,0.009647087,0.008556915,0.00174714,0.001942744,0.00024839,0.000448256,9.31E-05,-0.175007306,0.384347741,0.185230908,-0.07908707,-0.905146444,0.633306269,-0.438141725,0.74303788,-0.197286304,1.15377821,2.615603253,1.362809152,0.189953338,-0.00559892,-0.006652923,-17.94599758,13.66124772,11.46848726
Move,-0.023942016,-7.2592196,-6.4643445,0.2785798,0.06678821,0.038167533,-0.4261679,-7.6470804,-6.9120603,-0.097665235,-0.21566202,-0.029780399,-0.152341794,-7.429931105,-6.723644315,-0.000994613,-0.002588513,-0.002361131,-0.15322891,-7.433996,-6.71813,-0.00413691,-0.000627,-0.002334763,-0.16280572,-7.455544,-6.7085533,-0.008933228,0.000706,-0.007131087,0.051303984,0.044959654,0.051654621,0.030368991,0.021805446,0.010737864,0.002632099,0.00202137,0.0026682,0.000922276,0.000475477,0.000115302,-0.713620612,0.504385678,0.105334729,4.85535851,-4.990704309,0.168544286,2.947373707,3.194071335,2.158248666,40.13970563,41.44224793,0.322025133,-0.336768938,-0.006051154,-0.007682533,-30.53348829,-8.423927412,-4.547762034
Move,0.18914193,-7.398083,-6.540959,0.038497094,0.04147427,0.011521285,0.004788403,-7.577648,-6.849811,-0.0361124,-0.02434196,-0.014858499,0.102411348,-7.478724897,-6.725670563,-0.002312622,-0.002323167,0.000467004,0.10295067,-7.479486,-6.727707,-0.003337522,-0.002758499,0.000596,0.10534488,-7.4866686,-6.742072,-0.002005209,-0.00595605,0.000596,0.026410058,0.027068313,0.033281978,0.011075959,0.007779138,0.003441484,0.000697491,0.000732694,0.00110769,0.000122677,6.05E-05,1.18E-05,-0.035421437,0.060501339,0.47508296,0.440452428,1.226216789,-0.536599526,0.584083975,0.280491024,3.630627814,0.420506654,4.853083681,1.306007069,0.257882143,-0.003619375,-0.0049485,-4.789350335,-3.348505962,7.369275005
Move,0.8690952,-6.3470287,-7.716512,0.093181014,0.024152987,0.012089587,0.6560113,-6.9264255,-8.159439,-0.12718347,-0.04619311,-0.008960949,0.759309721,-6.646802978,-7.933565346,-0.000784876,-0.001952487,0.001090276,0.7517793,-6.6726403,-7.9128366,0.00471547,-0.000362,0.001164625,0.7541735,-6.703765,-7.8912888,-0.053639818,0.001503676,0.001964012,0.045692205,0.114458052,0.095882845,0.043299445,0.012037151,0.003505456,0.002087778,0.013100646,0.00919352,0.001874842,0.000144893,1.23E-05,0.25367203,0.752021281,-0.508931365,-0.414177546,-0.627309351,0.499946264,-0.608665336,-0.104685074,-0.510260493,-0.137225203,0.644985521,0.15909701,0.060175979,-0.017220016,-0.012085719,-55.1672466,-6.165036608,3.215200205
Move,0.866701,-6.2249246,-7.8529816,0.10730352,0.06625406,0.01661945,0.6536171,-6.619968,-8.183381,-0.07042695,-0.06671072,-0.012424962,0.756353517,-6.452091241,-8.004277435,0.00155214,-0.004827477,0.003816341,0.7589619,-6.4547677,-7.9990277,5.26E-05,-0.005424349,0.003829249,0.770933,-6.5936313,-7.9487495,0.012176418,-0.007289587,0.003562787,0.043160015,0.103381449,0.084544365,0.035278835,0.020989588,0.003960375,0.001862787,0.010687724,0.00714775,0.001244596,0.000440563,1.57E-05,0.215514527,0.370191899,-0.266774298,0.241151078,0.038706367,-0.092124029,-0.22351564,-0.755982991,-0.963449,-0.37975845,1.16485818,1.659194268,0.057063284,-0.016022937,-0.010562398,22.72915835,-4.347941459,1.037741299
